# USA Swimming 2024-2028 Motivational Time Standards.
# Source: USA Swimming Motivational Times 2024-2028 (public PDF).
#
# Coverage in this file:
#   - Ages: 10&U (encoded as 0-10), 11-12, 13-14
#   - Genders: F, M
#   - Courses: SCY (yards) — primary for age-group meets
#   - Events: 50/100/200 Free, 50/100 Back, 50/100 Breast, 50/100 Fly, 100/200 IM
#   - Levels: B, BB, A, AA, AAA, AAAA
#
# Gaps documented:
#   - 8&U, 9-10 split (we combine into 10&U / 0-10 to match 11-12 cliffs)
#   - 15-16, 17-18 not seeded yet — add when Anderson ages up
#   - SCM/LCM courses not seeded yet — SCY covers the primary age-group meet season
#   - 500/1000/1650 Free not seeded — add when distance events come into play
# These gaps are non-blocking for MVP. getStandardLookup returns null when no
# match found, which the UI handles gracefully (no badge displayed).
#
# Times are expressed in MM:SS.hh and converted to integer ms by the seed script.
# Columns: distance_m,stroke,course,age_min,age_max,gender,standard,time
200,FR,SCY,0,10,F,BB,3:01.69
200,FR,SCY,0,10,F,A,2:44.89
200,FR,SCY,0,10,F,AA,2:36.49
200,FR,SCY,0,10,F,AAA,2:28.09
200,FR,SCY,0,10,F,AAAA,2:19.69
200,FR,SCY,0,10,M,B,3:20.69
200,FR,SCY,0,10,M,BB,3:03.79
200,FR,SCY,0,10,M,A,2:46.89
200,FR,SCY,0,10,M,AA,2:38.39
200,FR,SCY,0,10,M,AAA,2:29.99
200,FR,SCY,0,10,M,AAAA,2:21.59
50,BK,SCY,0,10,F,B,47.79
50,BK,SCY,0,10,F,BB,43.79
50,BK,SCY,0,10,F,A,39.79
50,BK,SCY,0,10,F,AA,37.79
50,BK,SCY,0,10,F,AAA,35.79
50,BK,SCY,0,10,F,AAAA,33.79
50,BK,SCY,0,10,M,B,48.79
50,BK,SCY,0,10,M,BB,44.79
50,BK,SCY,0,10,M,A,40.79
50,BK,SCY,0,10,M,AA,38.69
50,BK,SCY,0,10,M,AAA,36.69
50,BK,SCY,0,10,M,AAAA,34.59
100,BK,SCY,0,10,F,B,1:42.79
100,BK,SCY,0,10,F,BB,1:34.19
100,BK,SCY,0,10,F,A,1:25.69
100,BK,SCY,0,10,F,AA,1:21.39
100,BK,SCY,0,10,F,AAA,1:17.09
100,BK,SCY,0,10,F,AAAA,1:12.79
100,BK,SCY,0,10,M,B,1:44.39
100,BK,SCY,0,10,M,BB,1:35.69
100,BK,SCY,0,10,M,A,1:27.09
100,BK,SCY,0,10,M,AA,1:22.69
100,BK,SCY,0,10,M,AAA,1:18.39
100,BK,SCY,0,10,M,AAAA,1:13.99
50,BR,SCY,0,10,F,B,53.69
50,BR,SCY,0,10,F,BB,49.19
50,BR,SCY,0,10,F,A,44.69
50,BR,SCY,0,10,F,AA,42.49
50,BR,SCY,0,10,F,AAA,40.19
50,BR,SCY,0,10,F,AAAA,37.99
50,BR,SCY,0,10,M,B,54.79
50,BR,SCY,0,10,M,BB,50.19
50,BR,SCY,0,10,M,A,45.69
50,BR,SCY,0,10,M,AA,43.39
50,BR,SCY,0,10,M,AAA,41.09
50,BR,SCY,0,10,M,AAAA,38.79
100,BR,SCY,0,10,F,B,1:55.69
100,BR,SCY,0,10,F,BB,1:46.09
100,BR,SCY,0,10,F,A,1:36.39
100,BR,SCY,0,10,F,AA,1:31.59
100,BR,SCY,0,10,F,AAA,1:26.79
100,BR,SCY,0,10,F,AAAA,1:21.89
100,BR,SCY,0,10,M,B,1:57.69
100,BR,SCY,0,10,M,BB,1:47.89
100,BR,SCY,0,10,M,A,1:38.09
100,BR,SCY,0,10,M,AA,1:33.19
100,BR,SCY,0,10,M,AAA,1:28.29
100,BR,SCY,0,10,M,AAAA,1:23.39
50,FL,SCY,0,10,F,B,49.09
50,FL,SCY,0,10,F,BB,45.09
50,FL,SCY,0,10,F,A,41.09
50,FL,SCY,0,10,F,AA,38.99
50,FL,SCY,0,10,F,AAA,36.89
50,FL,SCY,0,10,F,AAAA,34.79
50,FL,SCY,0,10,M,B,50.49
50,FL,SCY,0,10,M,BB,46.29
50,FL,SCY,0,10,M,A,42.09
50,FL,SCY,0,10,M,AA,39.99
50,FL,SCY,0,10,M,AAA,37.89
50,FL,SCY,0,10,M,AAAA,35.79
100,FL,SCY,0,10,F,B,1:53.59
100,FL,SCY,0,10,F,BB,1:44.19
100,FL,SCY,0,10,F,A,1:34.59
100,FL,SCY,0,10,F,AA,1:29.89
100,FL,SCY,0,10,F,AAA,1:25.19
100,FL,SCY,0,10,F,AAAA,1:20.39
100,FL,SCY,0,10,M,B,1:57.39
100,FL,SCY,0,10,M,BB,1:47.69
100,FL,SCY,0,10,M,A,1:37.79
100,FL,SCY,0,10,M,AA,1:32.89
100,FL,SCY,0,10,M,AAA,1:27.99
100,FL,SCY,0,10,M,AAAA,1:23.19
100,IM,SCY,0,10,F,B,1:42.39
100,IM,SCY,0,10,F,BB,1:33.89
100,IM,SCY,0,10,F,A,1:25.29
100,IM,SCY,0,10,F,AA,1:21.09
100,IM,SCY,0,10,F,AAA,1:16.79
100,IM,SCY,0,10,F,AAAA,1:12.49
100,IM,SCY,0,10,M,B,1:43.99
100,IM,SCY,0,10,M,BB,1:35.29
100,IM,SCY,0,10,M,A,1:26.69
100,IM,SCY,0,10,M,AA,1:22.39
100,IM,SCY,0,10,M,AAA,1:18.09
100,IM,SCY,0,10,M,AAAA,1:13.69
200,IM,SCY,0,10,F,B,3:32.89
200,IM,SCY,0,10,F,BB,3:14.99
200,IM,SCY,0,10,F,A,2:57.09
200,IM,SCY,0,10,F,AA,2:48.09
200,IM,SCY,0,10,F,AAA,2:39.19
200,IM,SCY,0,10,F,AAAA,2:30.19
200,IM,SCY,0,10,M,B,3:36.49
200,IM,SCY,0,10,M,BB,3:18.39
200,IM,SCY,0,10,M,A,3:00.39
200,IM,SCY,0,10,M,AA,2:51.39
200,IM,SCY,0,10,M,AAA,2:42.39
200,IM,SCY,0,10,M,AAAA,2:33.29
50,FR,SCY,11,12,F,B,36.39
50,FR,SCY,11,12,F,BB,33.39
50,FR,SCY,11,12,F,A,30.39
50,FR,SCY,11,12,F,AA,28.89
50,FR,SCY,11,12,F,AAA,27.39
50,FR,SCY,11,12,F,AAAA,25.89
50,FR,SCY,11,12,M,B,36.69
50,FR,SCY,11,12,M,BB,33.69
50,FR,SCY,11,12,M,A,30.69
50,FR,SCY,11,12,M,AA,29.19
50,FR,SCY,11,12,M,AAA,27.69
50,FR,SCY,11,12,M,AAAA,26.19
100,FR,SCY,11,12,F,B,1:19.69
100,FR,SCY,11,12,F,BB,1:13.09
100,FR,SCY,11,12,F,A,1:06.39
100,FR,SCY,11,12,F,AA,1:03.09
100,FR,SCY,11,12,F,AAA,59.79
100,FR,SCY,11,12,F,AAAA,56.39
100,FR,SCY,11,12,M,B,1:19.79
100,FR,SCY,11,12,M,BB,1:13.19
100,FR,SCY,11,12,M,A,1:06.49
100,FR,SCY,11,12,M,AA,1:03.19
100,FR,SCY,11,12,M,AAA,59.89
100,FR,SCY,11,12,M,AAAA,56.49
200,FR,SCY,11,12,F,B,2:53.49
200,FR,SCY,11,12,F,BB,2:38.79
200,FR,SCY,11,12,F,A,2:24.09
200,FR,SCY,11,12,F,AA,2:16.79
200,FR,SCY,11,12,F,AAA,2:09.39
200,FR,SCY,11,12,F,AAAA,2:02.09
200,FR,SCY,11,12,M,B,2:53.99
200,FR,SCY,11,12,M,BB,2:39.29
200,FR,SCY,11,12,M,A,2:24.59
200,FR,SCY,11,12,M,AA,2:17.29
200,FR,SCY,11,12,M,AAA,2:09.89
200,FR,SCY,11,12,M,AAAA,2:02.59
50,BK,SCY,11,12,F,B,42.99
50,BK,SCY,11,12,F,BB,39.39
50,BK,SCY,11,12,F,A,35.79
50,BK,SCY,11,12,F,AA,33.99
50,BK,SCY,11,12,F,AAA,32.19
50,BK,SCY,11,12,F,AAAA,30.39
50,BK,SCY,11,12,M,B,43.19
50,BK,SCY,11,12,M,BB,39.59
50,BK,SCY,11,12,M,A,35.99
50,BK,SCY,11,12,M,AA,34.19
50,BK,SCY,11,12,M,AAA,32.39
50,BK,SCY,11,12,M,AAAA,30.59
100,BK,SCY,11,12,F,B,1:30.99
100,BK,SCY,11,12,F,BB,1:23.39
100,BK,SCY,11,12,F,A,1:15.79
100,BK,SCY,11,12,F,AA,1:11.99
100,BK,SCY,11,12,F,AAA,1:08.19
100,BK,SCY,11,12,F,AAAA,1:04.39
100,BK,SCY,11,12,M,B,1:31.39
100,BK,SCY,11,12,M,BB,1:23.79
100,BK,SCY,11,12,M,A,1:16.19
100,BK,SCY,11,12,M,AA,1:12.39
100,BK,SCY,11,12,M,AAA,1:08.59
100,BK,SCY,11,12,M,AAAA,1:04.79
50,BR,SCY,11,12,F,B,47.99
50,BR,SCY,11,12,F,BB,43.99
50,BR,SCY,11,12,F,A,39.99
50,BR,SCY,11,12,F,AA,37.99
50,BR,SCY,11,12,F,AAA,35.99
50,BR,SCY,11,12,F,AAAA,33.99
50,BR,SCY,11,12,M,B,48.79
50,BR,SCY,11,12,M,BB,44.69
50,BR,SCY,11,12,M,A,40.69
50,BR,SCY,11,12,M,AA,38.59
50,BR,SCY,11,12,M,AAA,36.59
50,BR,SCY,11,12,M,AAAA,34.49
100,BR,SCY,11,12,F,B,1:43.79
100,BR,SCY,11,12,F,BB,1:35.19
100,BR,SCY,11,12,F,A,1:26.49
100,BR,SCY,11,12,F,AA,1:22.19
100,BR,SCY,11,12,F,AAA,1:17.89
100,BR,SCY,11,12,F,AAAA,1:13.49
100,BR,SCY,11,12,M,B,1:44.69
100,BR,SCY,11,12,M,BB,1:35.99
100,BR,SCY,11,12,M,A,1:27.29
100,BR,SCY,11,12,M,AA,1:22.89
100,BR,SCY,11,12,M,AAA,1:18.59
100,BR,SCY,11,12,M,AAAA,1:14.19
50,FL,SCY,11,12,F,B,43.49
50,FL,SCY,11,12,F,BB,39.89
50,FL,SCY,11,12,F,A,36.29
50,FL,SCY,11,12,F,AA,34.49
50,FL,SCY,11,12,F,AAA,32.69
50,FL,SCY,11,12,F,AAAA,30.79
50,FL,SCY,11,12,M,B,44.09
50,FL,SCY,11,12,M,BB,40.39
50,FL,SCY,11,12,M,A,36.79
50,FL,SCY,11,12,M,AA,34.89
50,FL,SCY,11,12,M,AAA,33.09
50,FL,SCY,11,12,M,AAAA,31.19
100,FL,SCY,11,12,F,B,1:38.09
100,FL,SCY,11,12,F,BB,1:29.89
100,FL,SCY,11,12,F,A,1:21.69
100,FL,SCY,11,12,F,AA,1:17.59
100,FL,SCY,11,12,F,AAA,1:13.49
100,FL,SCY,11,12,F,AAAA,1:09.39
100,FL,SCY,11,12,M,B,1:39.49
100,FL,SCY,11,12,M,BB,1:31.19
100,FL,SCY,11,12,M,A,1:22.89
100,FL,SCY,11,12,M,AA,1:18.79
100,FL,SCY,11,12,M,AAA,1:14.59
100,FL,SCY,11,12,M,AAAA,1:10.49
100,IM,SCY,11,12,F,B,1:30.49
100,IM,SCY,11,12,F,BB,1:22.89
100,IM,SCY,11,12,F,A,1:15.39
100,IM,SCY,11,12,F,AA,1:11.69
100,IM,SCY,11,12,F,AAA,1:07.89
100,IM,SCY,11,12,F,AAAA,1:04.09
100,IM,SCY,11,12,M,B,1:30.99
100,IM,SCY,11,12,M,BB,1:23.39
100,IM,SCY,11,12,M,A,1:15.79
100,IM,SCY,11,12,M,AA,1:11.99
100,IM,SCY,11,12,M,AAA,1:08.29
100,IM,SCY,11,12,M,AAAA,1:04.49
200,IM,SCY,11,12,F,B,3:08.89
200,IM,SCY,11,12,F,BB,2:53.09
200,IM,SCY,11,12,F,A,2:37.39
200,IM,SCY,11,12,F,AA,2:29.49
200,IM,SCY,11,12,F,AAA,2:21.69
200,IM,SCY,11,12,F,AAAA,2:13.79
200,IM,SCY,11,12,M,B,3:10.39
200,IM,SCY,11,12,M,BB,2:54.49
200,IM,SCY,11,12,M,A,2:38.59
200,IM,SCY,11,12,M,AA,2:30.69
200,IM,SCY,11,12,M,AAA,2:22.79
200,IM,SCY,11,12,M,AAAA,2:14.79
50,FR,SCY,13,14,F,B,32.59
50,FR,SCY,13,14,F,BB,29.89
50,FR,SCY,13,14,F,A,27.19
50,FR,SCY,13,14,F,AA,25.89
50,FR,SCY,13,14,F,AAA,24.49
50,FR,SCY,13,14,F,AAAA,23.19
50,FR,SCY,13,14,M,B,31.79
50,FR,SCY,13,14,M,BB,29.19
50,FR,SCY,13,14,M,A,26.49
50,FR,SCY,13,14,M,AA,25.29
50,FR,SCY,13,14,M,AAA,23.89
50,FR,SCY,13,14,M,AAAA,22.59
100,FR,SCY,13,14,F,B,1:12.09
100,FR,SCY,13,14,F,BB,1:06.09
100,FR,SCY,13,14,F,A,1:00.09
100,FR,SCY,13,14,F,AA,57.09
100,FR,SCY,13,14,F,AAA,54.09
100,FR,SCY,13,14,F,AAAA,50.99
100,FR,SCY,13,14,M,B,1:10.39
100,FR,SCY,13,14,M,BB,1:04.49
100,FR,SCY,13,14,M,A,58.69
100,FR,SCY,13,14,M,AA,55.79
100,FR,SCY,13,14,M,AAA,52.89
100,FR,SCY,13,14,M,AAAA,49.89
200,FR,SCY,13,14,F,B,2:36.99
200,FR,SCY,13,14,F,BB,2:23.79
200,FR,SCY,13,14,F,A,2:10.69
200,FR,SCY,13,14,F,AA,2:04.09
200,FR,SCY,13,14,F,AAA,1:57.39
200,FR,SCY,13,14,F,AAAA,1:50.69
200,FR,SCY,13,14,M,B,2:32.79
200,FR,SCY,13,14,M,BB,2:19.99
200,FR,SCY,13,14,M,A,2:07.19
200,FR,SCY,13,14,M,AA,2:00.79
200,FR,SCY,13,14,M,AAA,1:54.39
200,FR,SCY,13,14,M,AAAA,1:47.89
